City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carnarvon,AU,2021-11-29 02:59:07,-24.8667,113.6333,84.27,58,0,20.71
1,Hithadhoo,MV,2021-11-29 02:59:08,-0.6,73.0833,81.79,75,39,17.78
2,Albany,US,2021-11-29 02:58:19,42.6001,-73.9662,27.21,96,92,1.59
3,Pangai,TO,2021-11-29 02:59:08,-19.8,-174.35,82.51,54,20,18.41
4,Kapaa,US,2021-11-29 02:59:09,22.0752,-159.319,80.58,72,84,16.08
5,Alta Floresta,BR,2021-11-29 02:59:09,-9.8756,-56.0861,72.21,94,90,2.04
6,San Cristobal,VE,2021-11-29 02:59:10,7.7669,-72.225,66.22,94,35,1.36
7,San Juan,AR,2021-11-29 02:56:38,-31.5375,-68.5364,71.6,23,0,6.26
8,Cidreira,BR,2021-11-29 02:59:10,-30.1811,-50.2056,70.65,90,100,12.44
9,Airai,TL,2021-11-29 02:59:10,-8.9266,125.4092,73.87,63,100,0.92
10,Qaanaaq,GL,2021-11-29 02:59:11,77.484,-69.3632,-7.1,65,9,8.25
11,Punta Arenas,CL,2021-11-29 02:59:11,-53.15,-70.9167,42.91,75,75,24.16
12,Barrow,US,2021-11-29 02:59:12,71.2906,-156.7887,-16.58,76,75,10.36
13,Kavieng,PG,2021-11-29 02:59:12,-2.5744,150.7967,83.73,74,98,9.15
14,Namibe,AO,2021-11-29 02:59:12,-15.1961,12.1522,70.38,73,95,4.05
15,Tuktoyaktuk,CA,2021-11-29 02:59:13,69.4541,-133.0374,-11.2,70,90,21.85
16,Busselton,AU,2021-11-29 02:59:13,-33.65,115.3333,72.05,53,92,9.31
17,Avarua,CK,2021-11-29 02:59:14,-21.2078,-159.775,78.85,57,21,9.22
18,Labuhan,ID,2021-11-29 02:59:14,-6.8844,112.2051,76.78,84,100,7.34
19,Bredasdorp,ZA,2021-11-29 02:59:15,-34.5322,20.0403,62.69,79,99,4.05
20,Kaseda,JP,2021-11-29 02:58:09,31.4167,130.3167,63.63,58,0,9.66
21,Yellowknife,CA,2021-11-29 02:57:44,62.456,-114.3525,18.12,100,90,9.22
22,Faanui,PF,2021-11-29 02:59:16,-16.4833,-151.75,80.49,74,90,5.21
23,Kruisfontein,ZA,2021-11-29 02:59:16,-34.0033,24.7314,58.21,87,15,6.08
24,Yangjiang,CN,2021-11-29 02:59:17,21.85,111.9667,75.11,45,30,8.23
25,Katangli,RU,2021-11-29 02:59:17,51.7102,143.2326,24.76,93,100,12.21
26,Ushuaia,AR,2021-11-29 02:59:18,-54.8,-68.3,38.86,93,75,16.11
27,Gat,IL,2021-11-29 02:59:18,31.61,34.7642,57.88,32,18,2.98
28,New Norfolk,AU,2021-11-29 02:59:18,-42.7826,147.0587,63.9,44,31,6.85
29,Balkanabat,TM,2021-11-29 02:59:19,39.5108,54.3671,53.17,38,100,1.99
30,Mar Del Plata,AR,2021-11-29 02:55:21,-38.0023,-57.5575,62.62,100,90,11.5
31,Ostrovnoy,RU,2021-11-29 02:59:19,68.0531,39.5131,17.33,78,98,10.2
32,Bluff,NZ,2021-11-29 02:59:20,-46.6,168.3333,58.46,68,78,18.66
33,Saskylakh,RU,2021-11-29 02:59:20,71.9167,114.0833,-20.42,99,97,4.32
34,Kodiak,US,2021-11-29 02:59:21,57.79,-152.4072,14.2,62,87,0.36
35,Thompson,CA,2021-11-29 02:56:21,55.7435,-97.8558,-5.64,77,90,0.0
36,Jiayuguan,CN,2021-11-29 02:59:21,39.8167,98.3,28.35,23,0,0.94
37,Souillac,MU,2021-11-29 02:59:22,-20.5167,57.5167,73.78,83,75,4.61
38,Maragogi,BR,2021-11-29 02:59:22,-9.0122,-35.2225,78.37,86,70,7.83
39,Prachuap Khiri Khan,TH,2021-11-29 02:58:47,12.2167,99.75,75.51,79,98,8.68
40,East London,ZA,2021-11-29 02:59:22,-33.0153,27.9116,65.23,76,2,7.07
41,Rikitea,PF,2021-11-29 02:59:23,-23.1203,-134.9692,76.69,74,0,17.52
42,Bethel,US,2021-11-29 02:55:00,41.3712,-73.414,33.67,95,100,2.62
43,Hun,LY,2021-11-29 02:59:23,29.1268,15.9477,67.08,37,98,10.83
44,Olonets,RU,2021-11-29 02:59:24,60.9847,32.9698,15.58,93,52,7.34
45,Kaitangata,NZ,2021-11-29 03:00:24,-46.2817,169.8464,69.78,37,8,3.8
46,Katsuura,JP,2021-11-29 03:00:25,35.1333,140.3,51.91,47,92,10.2
47,Bandarbeyla,SO,2021-11-29 03:00:25,9.4942,50.8122,76.41,77,21,15.26
48,Barentu,ER,2021-11-29 03:00:26,15.1139,37.5928,69.69,51,4,7.78
49,Atuona,PF,2021-11-29 03:00:26,-9.8,-139.0333,78.49,75,9,16.8
50,Skibbereen,IE,2021-11-29 03:00:26,51.55,-9.2667,44.4,88,100,9.4
51,Laguna,US,2021-11-29 03:00:27,38.421,-121.4238,61.3,87,1,0.0
52,Klaksvik,FO,2021-11-29 03:00:27,62.2266,-6.589,40.12,97,100,16.91
53,Cockburn Town,TC,2021-11-29 03:00:28,21.4612,-71.1419,79.54,74,26,16.58
54,Cabo San Lucas,MX,2021-11-29 02:55:34,22.8909,-109.9124,74.86,73,100,4.81
55,Georgetown,MY,2021-11-29 03:00:28,5.4112,100.3354,82.33,83,20,6.91
56,Hermanus,ZA,2021-11-29 03:00:29,-34.4187,19.2345,61.25,90,100,5.53
57,Hobart,AU,2021-11-29 03:00:29,-42.8794,147.3294,64.26,63,20,17.27
58,Maniitsoq,GL,2021-11-29 03:00:29,65.4167,-52.9,35.26,92,100,24.81
59,Butaritari,KI,2021-11-29 03:00:30,3.0707,172.7902,81.68,78,99,12.24
60,Pueblo Nuevo,MX,2021-11-29 03:00:30,23.3833,-105.3833,51.89,73,86,7.07
61,Qasigiannguit,GL,2021-11-29 03:00:31,68.8193,-51.1922,21.45,95,100,6.69
62,Laje,BR,2021-11-29 03:00:31,-10.1833,-40.9667,67.91,87,76,0.56
63,Mataura,NZ,2021-11-29 03:00:32,-46.1927,168.8643,69.35,33,5,7.76
64,Lata,PT,2021-11-29 03:00:32,40.1629,-8.3327,48.58,94,52,5.68
65,Menongue,AO,2021-11-29 03:00:32,-14.6585,17.691,63.46,96,100,6.2
66,Talnakh,RU,2021-11-29 03:00:33,69.4865,88.3972,-18.53,99,98,5.35
67,Arraial Do Cabo,BR,2021-11-29 03:00:33,-22.9661,-42.0278,72.77,86,1,4.7
68,Sampit,ID,2021-11-29 03:00:34,-2.5333,112.95,83.14,69,100,4.05
69,Yagodnoye,RU,2021-11-29 03:00:34,62.55,149.6667,-14.35,99,100,3.22
70,Hanchuan,CN,2021-11-29 03:00:34,30.65,113.7667,60.93,43,8,8.81
71,Cape Town,ZA,2021-11-29 02:58:46,-33.9258,18.4232,61.21,100,75,5.75
72,Djougou,BJ,2021-11-29 03:00:35,9.7085,1.666,72.91,22,99,4.12
73,Lebu,CL,2021-11-29 03:00:35,-37.6167,-73.65,53.22,79,7,18.3
74,Avera,US,2021-11-29 03:00:36,33.194,-82.5271,49.51,59,54,9.8
75,Tiksi,RU,2021-11-29 03:00:36,71.6872,128.8694,-16.82,99,99,6.46
76,Prince Rupert,CA,2021-11-29 03:00:21,54.3161,-130.3201,38.37,86,100,1.72
77,Saldanha,ZA,2021-11-29 03:00:37,-33.0117,17.9442,61.3,88,90,3.42
78,Hilo,US,2021-11-29 03:00:37,19.7297,-155.09,75.0,79,34,14.92
79,Celestun,MX,2021-11-29 03:00:38,20.8667,-90.4,76.06,79,82,11.52
80,Macomb,US,2021-11-29 03:00:38,40.4592,-90.6718,33.84,50,1,3.44
81,Vaini,TO,2021-11-29 03:00:39,-21.2,-175.2,77.68,64,43,19.3
82,Caravelas,BR,2021-11-29 03:00:39,-17.7125,-39.2481,74.01,93,74,10.47
83,Vao,NC,2021-11-29 03:00:40,-22.6667,167.4833,75.83,90,33,19.95
84,Vardo,NO,2021-11-29 03:00:40,70.3705,31.1107,22.41,81,100,24.07
85,Bridgewater,CA,2021-11-29 03:00:41,44.3835,-64.5155,29.66,83,70,3.4
86,Kutum,SD,2021-11-29 03:00:41,14.2,24.6667,63.41,27,3,5.41
87,Kirakira,SB,2021-11-29 03:00:42,-10.4544,161.9205,85.84,69,54,7.38
88,Pietermaritzburg,ZA,2021-11-29 03:00:42,-29.6168,30.3928,60.55,72,3,3.0
89,Severo-Kurilsk,RU,2021-11-29 03:00:43,50.6789,156.125,33.96,66,89,15.26
90,Dogondoutchi,NE,2021-11-29 03:00:43,13.6393,4.0287,74.88,14,75,9.57
91,Castelo Do Piaui,BR,2021-11-29 03:00:43,-5.3222,-41.5525,78.6,60,63,0.18
92,Geraldton,AU,2021-11-29 03:01:44,-28.7667,114.6,77.41,61,0,19.57
93,Hasaki,JP,2021-11-29 03:01:44,35.7333,140.8333,52.2,48,100,10.27
94,Iqaluit,CA,2021-11-29 03:01:45,63.7506,-68.5145,19.74,92,100,11.41
95,Wageningen,NL,2021-11-29 03:01:45,51.9667,5.6667,33.89,100,69,6.91
96,Khatanga,RU,2021-11-29 03:01:46,71.9667,102.5,-7.6,98,100,8.57
97,Tres Picos,MX,2021-11-29 03:01:46,15.8667,-93.5333,76.91,72,90,7.54
98,Puerto Ayora,EC,2021-11-29 03:01:46,-0.7393,-90.3518,69.64,81,78,10.4
99,Saint George,US,2021-11-29 02:59:13,37.1041,-113.5841,46.87,30,0,2.64
100,Esperance,AU,2021-11-29 03:01:47,-33.8667,121.9,68.31,70,36,17.47
101,Tucumcari,US,2021-11-29 03:01:47,35.1717,-103.725,51.64,35,1,10.36
102,Beloha,MG,2021-11-29 03:01:48,-25.1667,45.05,64.89,67,0,12.12
103,Mahebourg,MU,2021-11-29 03:01:48,-20.4081,57.7,77.22,66,0,6.67
104,San Jeronimo,PE,2021-11-29 03:01:49,-11.9472,-75.2829,53.87,75,100,2.1
105,Port Elizabeth,ZA,2021-11-29 03:01:49,-33.918,25.5701,62.4,85,0,9.84
106,Itarema,BR,2021-11-29 03:01:49,-2.9248,-39.9167,80.08,80,38,12.68
107,La Libertad,EC,2021-11-29 03:01:50,-2.2333,-80.9,71.19,82,15,12.17
108,Fortuna,US,2021-11-29 03:01:50,40.5982,-124.1573,52.14,97,40,3.94
109,Pierre,US,2021-11-29 03:01:01,44.3683,-100.351,49.46,44,91,7.45
110,Koumac,NC,2021-11-29 03:01:51,-20.5667,164.2833,82.02,72,72,5.39
111,Taoudenni,ML,2021-11-29 03:01:51,22.6783,-3.9836,63.36,31,0,11.95
112,Luderitz,NA,2021-11-29 03:01:52,-26.6481,15.1594,58.8,82,66,4.14
113,Moose Factory,CA,2021-11-29 03:01:52,51.2585,-80.6094,19.51,97,99,0.63
114,Urumita,CO,2021-11-29 03:01:52,10.5589,-73.0123,73.06,84,30,4.38
115,Mackay,AU,2021-11-29 03:00:04,-21.15,149.2,80.4,74,99,10.38
116,Calvinia,ZA,2021-11-29 03:01:53,-31.4707,19.776,49.82,100,75,5.75
117,Port Alfred,ZA,2021-11-29 03:01:53,-33.5906,26.891,63.25,83,19,9.98
118,Kahului,US,2021-11-29 03:01:54,20.8947,-156.47,75.51,75,13,17.56
119,Grand Gaube,MU,2021-11-29 03:01:54,-20.0064,57.6608,77.27,66,1,8.43
120,Tasiilaq,GL,2021-11-29 03:01:55,65.6145,-37.6368,28.56,92,100,8.41
121,Natal,BR,2021-11-29 03:01:55,-5.795,-35.2094,79.65,78,27,9.53
122,Ipora,BR,2021-11-29 03:01:55,-16.4419,-51.1178,72.55,87,82,1.86
123,Vytegra,RU,2021-11-29 03:01:56,61.0064,36.4481,-4.77,99,67,4.16
124,Jamestown,US,2021-11-29 02:57:45,42.097,-79.2353,33.39,93,90,8.05
125,Pilot Butte,CA,2021-11-29 03:01:57,50.4668,-104.4178,24.76,94,66,4.47
126,Cumanayagua,CU,2021-11-29 03:01:57,22.1494,-80.2022,65.95,92,3,3.71
127,Shieli,KZ,2021-11-29 03:01:57,44.1667,66.75,34.97,35,0,7.05
128,Gigmoto,PH,2021-11-29 03:01:58,13.7796,124.39,83.82,77,65,8.3
129,San Patricio,US,2021-11-29 03:01:58,28.017,-97.5169,57.04,82,61,6.58
130,Lorengau,PG,2021-11-29 03:01:59,-2.0226,147.2712,84.81,71,77,5.26
131,Careiro Da Varzea,BR,2021-11-29 03:01:59,-3.2003,-59.8119,79.41,79,77,1.07
132,Ribeira Grande,PT,2021-11-29 03:02:00,38.5167,-28.7,61.99,64,84,7.52
133,Oranjemund,NA,2021-11-29 03:02:00,-28.55,16.4333,59.79,94,1,3.36
134,Gerash,IR,2021-11-29 03:02:01,27.6652,54.1371,59.22,53,10,4.38
135,Pochutla,MX,2021-11-29 03:02:01,15.7432,-96.4661,74.34,76,5,3.8
136,Dolny Kubin,SK,2021-11-29 03:02:01,49.2098,19.3034,35.87,96,100,3.09
137,Dunedin,NZ,2021-11-29 03:02:02,-45.8742,170.5036,64.9,54,19,7.29
138,Dudinka,RU,2021-11-29 03:03:02,69.4058,86.1778,-25.67,100,99,3.85
139,Cherskiy,RU,2021-11-29 03:03:03,68.75,161.3,-18.89,97,100,5.19
140,Codrington,AU,2021-11-29 03:03:03,-38.2667,141.9667,75.43,44,1,9.95
141,Ketchikan,US,2021-11-29 03:03:03,55.3422,-131.6461,34.27,86,90,0.0
142,Hofn,IS,2021-11-29 03:03:04,64.2539,-15.2082,34.75,82,81,4.97
143,Touros,BR,2021-11-29 02:59:01,-5.1989,-35.4608,81.5,80,28,11.59
144,Kawalu,ID,2021-11-29 03:03:04,-7.3817,108.2082,82.89,62,74,3.76
145,Bathsheba,BB,2021-11-29 03:03:05,13.2167,-59.5167,81.21,78,75,19.57
146,Broome,US,2021-11-29 03:03:05,42.2506,-75.833,32.77,100,90,6.91
147,Chuy,UY,2021-11-29 03:03:06,-33.6971,-53.4616,64.4,97,100,6.44
148,San Quintin,MX,2021-11-29 03:03:06,30.4833,-115.95,64.04,60,0,7.49
149,Harper,LR,2021-11-29 03:03:07,4.375,-7.7169,78.87,84,17,6.67
150,Castro,BR,2021-11-29 03:01:04,-24.7911,-50.0119,66.0,70,100,1.59
151,Luwuk,ID,2021-11-29 03:03:07,-0.9516,122.7875,79.27,86,100,1.61
152,Yulara,AU,2021-11-29 03:03:08,-25.2406,130.9889,86.47,15,0,3.24
153,Beira,MZ,2021-11-29 03:03:08,-19.8436,34.8389,68.09,88,0,3.44
154,Coronel Fabriciano,BR,2021-11-29 03:01:16,-19.5186,-42.6289,70.29,87,9,1.79
155,Provideniya,RU,2021-11-29 03:03:09,64.3833,-173.3,-2.09,55,0,13.42
156,Fort Nelson,CA,2021-11-29 03:03:09,58.8053,-122.7002,-3.28,100,80,2.73
157,Almenara,BR,2021-11-29 03:03:09,-16.1836,-40.6944,69.42,98,57,1.39
158,Nishihara,JP,2021-11-29 03:03:10,26.1842,127.7558,69.85,83,90,16.11
159,Clyde River,CA,2021-11-29 03:03:10,70.4692,-68.5914,-1.97,84,94,20.71
160,Picui,BR,2021-11-29 03:03:11,-6.5106,-36.3469,73.47,86,53,13.56
161,Nicolas Bravo,MX,2021-11-29 03:03:11,18.45,-88.9167,71.67,83,99,2.01
162,Grindavik,IS,2021-11-29 03:03:11,63.8424,-22.4338,39.67,100,90,11.5
163,Januaria,BR,2021-11-29 03:03:12,-15.4833,-44.3667,68.74,97,34,1.32
164,Gurupi,BR,2021-11-29 03:03:12,-11.7292,-49.0686,73.26,94,78,3.4
165,Maryville,US,2021-11-29 03:03:13,35.7565,-83.9705,44.8,57,20,4.61
166,Ponta Do Sol,PT,2021-11-29 03:03:13,32.6667,-17.1,63.23,76,5,7.07
167,Isla Mujeres,MX,2021-11-29 03:00:02,21.2311,-86.731,75.69,74,37,3.27
168,Norman Wells,CA,2021-11-29 03:03:14,65.282,-126.8329,-13.72,96,100,9.78
169,Atar,MR,2021-11-29 03:02:19,20.5169,-13.0499,63.3,41,87,9.57
170,Pacific Grove,US,2021-11-29 03:03:14,36.6177,-121.9166,59.4,62,1,5.75
171,Mfou,CM,2021-11-29 03:03:14,3.7159,11.6427,66.27,97,95,2.46
172,Boras,SE,2021-11-29 03:03:15,57.721,12.9401,25.75,84,58,7.65
173,Luganville,VU,2021-11-29 03:01:15,-15.5333,167.1667,85.28,68,87,6.29
174,Isangel,VU,2021-11-29 03:03:15,-19.55,169.2667,83.79,69,71,8.14
175,Marawi,PH,2021-11-29 03:03:16,7.9986,124.2928,81.41,62,73,4.07
176,Marystown,CA,2021-11-29 03:03:16,47.1666,-55.1483,44.1,82,67,17.4
177,Port Pirie,AU,2021-11-29 03:03:17,-33.1833,138.0167,81.59,28,0,9.15
178,Toccoa,US,2021-11-29 03:03:17,34.5773,-83.3324,53.17,46,1,0.0
179,Saint-Philippe,RE,2021-11-29 03:03:18,-21.3585,55.7679,76.59,84,42,7.11
180,Fort Frances,CA,2021-11-29 02:58:56,48.5999,-93.4003,22.5,88,100,2.51
181,Korla,CN,2021-11-29 03:03:19,41.7597,86.1469,25.41,68,6,2.86
182,Tondano,ID,2021-11-29 03:03:19,1.3038,124.9112,80.69,80,100,2.91
183,Mahon,ES,2021-11-29 03:03:19,39.8885,4.2658,45.16,76,40,12.66
184,Khandagayty,RU,2021-11-29 03:03:20,50.7333,92.05,12.56,83,12,1.74
185,Evansville,US,2021-11-29 03:03:20,37.9748,-87.5558,35.65,44,1,3.44
186,Victoria,HK,2021-11-29 03:00:46,22.2855,114.1577,73.45,52,3,6.29
187,Nome,US,2021-11-29 03:04:21,64.5011,-165.4064,-18.33,69,1,3.44
